HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
99972,Pyralidae,Achyra,affinitalis,,Lederer,Detritophagous,,,,Australia,on cereals,
99973,Pyralidae,Achyra,affinitalis,,Lederer,Polyphagous,,,,Australia,on garden crops,
99974,Pyralidae,Achyra,affinitalis,,Lederer,Gramineae,,,,Australia,on grasses,
99975,Pyralidae,Achyra,affinitalis,,Lederer,Gramineae,,,,Australia,on pastures,
99976,Pyralidae,Achyra,affinitalis,,Lederer,Polyphagous,,,,Australia,on perennial herbs,
25707,Gracillariidae,Acrocercops,symploca,,Meyrick,Leguminosae,,,,Australia,in leaves,
125323,Tortricidae,Acropolitis,ergophora,,Meyrick,Polyphagous,,,,Australia,,
125328,Tortricidae,Acropolitis,rudisana,,Walker,Polyphagous,,,,Australia,,
44742,Lymantriidae,Acyphas,leucomelas,,Walker,Polyphagous,,,,Australia,,
53765,Noctuidae,Agrotis,munda,,Walker,Gramineae,,,,Australia,,
53836,Noctuidae,Agrotis,radians,,Guenée,Polyphagous,,,,Australia,on vegetable crops,
126332,Tortricidae,Anisogona,mediana,,Walker,Polyphagous,,,,Australia,,
13755,Geometridae,Anisozyga,pieroides,,Walker,Polyphagous,,,,Australia,,
173,Anthelidae,Anthela,denticulata,,Newman,Gramineae,,,,Australia,,
175,Anthelidae,Anthela,euryphrica,,Turner,Gramineae,,,,Australia,,
178,Anthelidae,Anthela,ferruginosa,,Walker,Gramineae,,,,Australia,,
185,Anthelidae,Anthela,ocellata,,Walker,Gramineae,,,,Australia,,
187,Anthelidae,Anthela,oressarcha,,Turner,Gramineae,,,,Australia,,
55550,Noctuidae,Apina,callisto,,Walker,Gramineae,,,,Australia,,
79144,Nymphalidae,Argynnina,hobartia,,Westwood,Gramineae,,,,Australia,,
56107,Noctuidae,Autoba,coccidiphaga,,Hampson,Insecta,,,,Australia,on coccids,
90123,Oecophoridae,Barea,consignatella,,Walker,Polyphagous,,,,Australia,on forest trees,
90124,Oecophoridae,Barea,consignatella,,Walker,Detritophagous,,,,Australia,on timbers,
56704,Noctuidae,Bathytricha,truncata,,Walker,Typhaceae,,,,Australia,on reeds,
101296,Pyralidae,Calamotropha,leptogrammella,,Meyrick,Gramineae,,,,Australia,,
101301,Pyralidae,Calamotropha,leptogrammella,,Meyrick,Gramineae,,,,Australia,on grasses,
57235,Noctuidae,Catoblemma,trigonographa,,Turner,Insecta,,,,Australia,on scale insects,
97642,Psychidae,Cebysa,leucoteles,,Walker,Lichenes,,,,Australia,,
30436,Hesperiidae,Cephrenes,augiades,,Felder,Palmae,,,,Australia,,
58101,Noctuidae,Chrysodeixis,argentifera,,Guenée,Polyphagous,,,,Australia,on herbs,
58256,Noctuidae,Chrysodeixis,chalcites,,Esper,Polyphagous,,,,Australia,on vegetable crops,
15083,Geometridae,Ciampa,arietaria,,Guenée,Leguminosae,,,,Australia,,
102036,Pyralidae,Conogethes,punctiferalis,,Guenée,Polyphagous,,,,Australia,on fruits,
102217,Pyralidae,Corynophora,torrentellus,,Meyrick,Gramineae,,,,Australia,,
90252,Oecophoridae,Cryptophasa,albacosta,,Lewin,Polyphagous,,,,Australia,on fruit trees,
90307,Oecophoridae,Cryptophasa,unipunctana,,Donovan,Polyphagous,,,,Australia,in orchard tree stems,
130300,Tortricidae,Cryptophlebia,illepida,,Butler,Polyphagous,,,,Australia,on stone fruits,
130522,Tortricidae,Cryptoptila,immersana,,Walker,Polyphagous,,,,Australia,on ornamental plants,
130523,Tortricidae,Cryptoptila,immersana,,Walker,Polyphagous,,,,Australia,on ornamentals/crops,
102575,Pyralidae,Culladia,cuneiferellus,,Walker,Gramineae,,,,Australia,,
130874,Tortricidae,Cydia,metallocosma,,Lower,Loranthaceae,,,,Australia,,
59116,Noctuidae,Dasygaster,hollandiae,,Guenée,Gramineae,,,,Australia,,
59119,Noctuidae,Dasygaster,hollandiae,,Guenée,Gramineae,,,,Australia,on cereals,
59120,Noctuidae,Dasygaster,padockina,,Le Guillou,Gramineae,,,,Australia,,
