HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
29562,Hepialidae,Aenetus,virescens,,Doubleday,Polyphagous,,,,New Zealand,on fruit trees,
53344,Noctuidae,Agrotis,admirationis,,Guenée,Polyphagous,,,,New Zealand,on nursery exotics,
9721,Gelechiidae,Apatetris,melanombra,,Meyrick,Polyphagous,,,,New Zealand,on shrubs,
9722,Gelechiidae,Apatetris,melanombra,,Meyrick,Polyphagous,,,,New Zealand,on weeds,
123383,Tineidae,Archyala,terranea,,Butler,Musci,,,,New Zealand,on mosses,
123384,Tineidae,Archyala,terranea,,Butler,Detritophagous,,,,New Zealand,on stored products,
4312,Batrachedridae,Batrachedra,filicicola,,Meyrick,Filicopsida,,,,New Zealand,,
4338,Batrachedridae,Batrachedra,psithyra,,Meyrick,Filicopsida,,,,New Zealand,,
90145,Oecophoridae,Calicotis,crucifera,,Meyrick,Filicopsida,,,,New Zealand,,
128688,Tortricidae,Capua,intractana,,Walker,Polyphagous,,,,New Zealand,,
90218,Oecophoridae,Chersadaula,ochrogastra,,Meyrick,Gramineae,,,,New Zealand,on grass roots,
130524,Tortricidae,Ctenopseustis,fraterna,,Philpott,Filicopsida,,,,New Zealand,,
82799,Nymphalidae,Erebiola,butleri,,Fereday,Gramineae,,,,New Zealand,,
123496,Tineidae,Erechthias,fulguritella,,Walker,Polyphagous,,,,New Zealand,on conifers,
123501,Tineidae,Erechthias,hemiclistra,,Meyrick,Gramineae,,,,New Zealand,in stems,
132757,Tortricidae,Ericodesma,,,,Filicopsida,,,,New Zealand,,
132758,Tortricidae,Ericodesma,scruposa,,Philpott,Filicopsida,,,,New Zealand,,
104226,Pyralidae,Eudonia,bisinualis,,Hudson,Gramineae,,,,New Zealand,on pastures,
104239,Pyralidae,Eudonia,philerga,,Meyrick,Gramineae,,,,New Zealand,on pastures,
104240,Pyralidae,Eudonia,psammitis,,Meyrick,Gramineae,,,,New Zealand,on pastures,
104241,Pyralidae,Eudonia,sabulosellus,,Walker,Gramineae,,,,New Zealand,on pastures,
104243,Pyralidae,Eudonia,submarginalis,,Walker,Gramineae,,,,New Zealand,on pastures,
104654,Pyralidae,Gadira,petraula,,Meyrick,Lichenes,,,,New Zealand,on rock lichens,
61589,Noctuidae,Graphania,insignis,,Walker,Polyphagous,,,,New Zealand,on bulbs,
61594,Noctuidae,Graphania,ustistriga,,Walker,Polyphagous,,,,New Zealand,,
62037,Noctuidae,Helicoverpa,armigera,,Hübner,Polyphagous,,,,New Zealand,on field crops,
63459,Noctuidae,Ichneutica,toroneura,,Meyrick,Gramineae,,,,New Zealand,,
63460,Noctuidae,Ichneutica,toroneura,,Meyrick,Gramineae,,,,New Zealand,on pastures,
98141,Psychidae,Liothula,omnivora,,Fereday,Pinaceae,,,,New Zealand,,
98148,Psychidae,Liothula,omnivora,,Fereday,Polyphagous,,,,New Zealand,on fruit trees,
42214,Lycaenidae,Lycaena,boldenarum,,White,Polygonaceae,,,,New Zealand,,
42231,Lycaenidae,Lycaena,feredayi,,Bates,Polygonaceae,,,,New Zealand,,
42273,Lycaenidae,Lycaena,rauparaha,,Fereday,Polygonaceae,,,,New Zealand,,
42274,Lycaenidae,Lycaena,salustius,,Fabricius,Polygonaceae,,,,New Zealand,,
2782,Arctiidae,Metacrias,huttoni,,Butler,Gramineae,,,,New Zealand,on pastures,
2858,Arctiidae,Nyctemera,annulata,,Boisduval,Detritophagous,,,,New Zealand,on cereals,
107258,Pyralidae,Orocrambus,flexuosellus,,Doubleday,Gramineae,,,,New Zealand,on pastures,
107260,Pyralidae,Orocrambus,vittellus,,Doubleday,Gramineae,,,,New Zealand,on pastures,
68350,Noctuidae,Persectania,aversa,,Walker,Gramineae,,,,New Zealand,,
68353,Noctuidae,Persectania,aversa,,Walker,Polyphagous,,,,New Zealand,on grain crops,
68354,Noctuidae,Persectania,aversa,,Walker,Gramineae,,,,New Zealand,on pastures,
25249,Glyphipterigidae,Phryganostola,achlyoessa,,Meyrick,Gramineae,,,,New Zealand,on grasses,
96912,Pieridae,Pieris,rapae,,Linnaeus,Cruciferae,,,,New Zealand,,
136536,Tortricidae,Planotortrix,excessana,,Walker,Polyphagous,,,,New Zealand,on stone fruits,
136543,Tortricidae,Planotortrix,tigris,,Philpott,Filicopsida,,,,New Zealand,,
139521,Yponomeutidae,Plutella,antiphona,,Meyrick,Cruciferae,,,,New Zealand,,
139714,Yponomeutidae,Protosynaema,quaestuosa,,Meyrick,Gramineae,,,,New Zealand,on grasses,
139715,Yponomeutidae,Protosynaema,steropucha,,Meyrick,Gramineae,,,,New Zealand,on grasses,
23203,Geometridae,Pseudocoremia,fenerata,,Felder & Rogenh.,Pinaceae,,,,New Zealand,,
7013,Cosmopterigidae,Pyroderces,anarithma,,Meyrick,Filicopsida,,,,New Zealand,,
49732,Micropterigidae,Sabatinca,barbarica,,Philpott,Hepaticae,,,,New Zealand,on liverwort,
