HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
4403,Blastobasidae,Blastobasis,atmosema,,Meyrick,Insecta,,,,Argentina,on Coccidae,
79912,Nymphalidae,Caligo,idomeneus,,Linnaeus,Marantaceae,,,,Argentina,,
129366,Tortricidae,Clarkeulia,bourquini,,Clarke,Verbenaceae,,,,Argentina,,
131297,Tortricidae,Deltinea,bourquini,,Clarke,Verbenaceae,,,,Argentina,,
82377,Nymphalidae,Doxocopa,cyane,,Latreille,Ulmaceae,,,,Argentina,,
82392,Nymphalidae,Doxocopa,laurentia,,Godart,Ulmaceae,,,,Argentina,,
113972,Saturniidae,Eudyaria,venata,,Butler,Polyphagous,,,,Argentina,on herbaceous plants,
83563,Nymphalidae,Euptychia,biocellata,,Godman,Gramineae,,,,Argentina,,
83565,Nymphalidae,Euptychia,celmis,,Godart,Gramineae,,,,Argentina,,
83585,Nymphalidae,Euptychia,phares,,Godart,Gramineae,,,,Argentina,,
98093,Psychidae,Kotochalia,daguerrei,,Köhler,Lichenes,,,,Argentina,,
33735,Lasiocampidae,Labedera,proxima,,Burmeister,Polyphagous,,,,Argentina,on orchard trees,
31513,Hesperiidae,Lerodea,eufala,,Edwards,Gramineae,,,,Argentina,,
86437,Nymphalidae,Morpho,hercules,,Dalman,Musaceae,,,,Argentina,,
98534,Psychidae,Oiketicus,moyanoi,,Bahamondes,Polyphagous,,,,Argentina,on field crops,
98535,Psychidae,Oiketicus,moyanoi,,Bahamondes,Polyphagous,,,,Argentina,on forest trees,
98536,Psychidae,Oiketicus,moyanoi,,Bahamondes,Polyphagous,,,,Argentina,on fruit trees,
98537,Psychidae,Oiketicus,moyanoi,,Bahamondes,Polyphagous,,,,Argentina,on ornamental woody plants,
98546,Psychidae,Oiketicus,platensis,,Berg,Polyphagous,,,,Argentina,on orchard trees,
31805,Hesperiidae,Panoquina,ocola,,Edwards,Gramineae,,,,Argentina,,
31825,Hesperiidae,Panoquina,sylvicola,,Herrich-Schäffer,Gramineae,,,,Argentina,,
32240,Hesperiidae,Pseudosarbia,phoenicicola,,Berg,Palmae,,,,Argentina,,
12377,Gelechiidae,Recurvaria,synestia,,Meyrick,Insecta,,,,Argentina,on Coccidae,
108965,Pyralidae,Salambona,analamprella,,Dyar,Cactaceae,,,,Argentina,,
37512,Limacodidae,Sibine,bonaerensis,,Berg,Polyphagous,,,,Argentina,on fruit trees,
12973,Gelechiidae,Tildenia,vorax,,Meyrick,Insecta,,,,Argentina,on Coccidae,
35429,Lasiocampidae,Tolype,viuda,,Schaus,Leguminosae,,,,Argentina,on,
73430,Noctuidae,Tripseuxoa,strigata,,Hampson,Gramineae,,,,Uruguay,,
35430,Lasiocampidae,Tolype,viuda,,Schaus,Leguminosae (M),Acacia,caven,,Argentina,on,
35333,Lasiocampidae,Tolype,guentheri,,Berg,Leguminosae (M),Acacia,macracantha,,Argentina,on leaves,
85061,Nymphalidae,Junonia,evarete,,Cramer,Compositae,Achyrocline,satureioides,,Argentina,,
98609,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Adenanthera,colubrina,,Argentina,,
98612,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Adenanthera,colubrina,,Argentina,on,
