HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
99952,Pyralidae,Achroia,grisella,,Fabricius,Detritophagous,,,,Southern Africa,on beeswax,
53780,Noctuidae,Agrotis,oliveata,,Hampson,Polyphagous,,,,South Africa,on herbs,
529,Arctiidae,Amphicallia,bellatrix,,Dalman,Leguminosae (P),,,,Southern Africa,on wild pea,
75693,Notodontidae,Antheua,ornata,,Walker,Gramineae,,,,Southern Africa,,
75698,Notodontidae,Antheua,ornata,,Walker,Gramineae,,,,Southern Africa,on grasses,
75721,Notodontidae,Antheua,woerdeni,,Snellen,Gramineae,,,,Southern Africa,,
75727,Notodontidae,Antheua,woerdeni,,Snellen,Gramineae,,,,Southern Africa,on grasses,
44900,Lymantriidae,Aroa,discalis,,Walker,Gramineae,,,,Southern Africa,on grasses,
965,Arctiidae,Asura,sagenaria,,Wallengren,Lichenes,,,,Southern Africa,,
55961,Noctuidae,Athetis,ignava,,Guenée,Detritophagous,,,,South Africa,on sugarcane trash,
56010,Noctuidae,Athetis,xantholopha,,Hampson,Detritophagous,,,,South Africa,on sugarcane trash,
79700,Nymphalidae,Bicyclus,safitza,,Westwood,Gramineae,,,,Southern Africa,,
56881,Noctuidae,Brithys,pancratii,,Cyrillo,Liliaceae,,,,Southern Africa,,
112630,Saturniidae,Bunaeopsis,arabella,,Aurivillius,Gramineae,,,,Southern Africa,,
112646,Saturniidae,Bunaeopsis,oubie,,Guérin-Méneville,Gramineae,,,,Southern Africa,,
101214,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on chocolate,
101215,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on cocoa,
101216,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on corn meal,
101217,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on cotton meal,
101219,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on currants,
101225,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on figs,
101231,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on oil cake,
101233,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on raisins,
101262,Pyralidae,Cadra,cautella,,Walker,Detritophagous,,,,Southern Africa,on walnuts,
33332,Lasiocampidae,Catalebeda,jamesoni,,Bethune-Baker,Gramineae,,,,Southern Africa,on grasses,
1070,Arctiidae,Chionaema,pretoriae,,Distant,Lichenes,,,,Southern Africa,,
58382,Noctuidae,Coccidiphaga,scitula,,Rambur,Insecta,,,,Southern Africa,on Coccidae,
81536,Nymphalidae,Coenyra,aurantiaca,,Riley,Gramineae,,,,Southern Africa,,
102263,Pyralidae,Crocidolomia,pavonana,,Fabricius,Cruciferae,,,,Southern Africa,,
45249,Lymantriidae,Cropera,testacea,,Walker,Gramineae,,,,Southern Africa,,
45257,Lymantriidae,Cropera,testacea,,Walker,Gramineae,,,,Southern Africa,on tall grass,
1255,Arctiidae,Cyana,pretoriae,,Distant,Lichenes,,,,Southern Africa,on lichens,
102725,Pyralidae,Diaphania,indica,,Saunders,Cucurbitaceae,,,,Southern Africa,,
103030,Pyralidae,Dichocrocis,polystidzalis,,Hampson,Polyphagous,,,,Southern Africa,on fruit trees,
82217,Nymphalidae,Dingana,dingana,,Trimen,Gramineae,,,,Southern Africa,,
82261,Nymphalidae,Dira,clytus,,Linnaeus,Gramineae,,,,Southern Africa,,
82266,Nymphalidae,Dira,jansei,,Swierstra,Gramineae,,,,Southern Africa,,
82268,Nymphalidae,Dira,oxylus,,Trimen,Gramineae,,,,Southern Africa,,
82270,Nymphalidae,Dira,swanepoeli,,van Son,Gramineae,,,,Southern Africa,,
74761,Nolidae,Earias,cupreoviridis,,Walker,Malvaceae,,,,Southern Africa,,
1421,Arctiidae,Eilema,bipuncta,,Hübner,Lichenes,,,,Southern Africa,,
1459,Arctiidae,Eilema,similipuncta,,Hampson,Lichenes,,,,Southern Africa,on lichens,
29703,Hepialidae,Eudalaca,rufescens,,Hampson,Gramineae,,,,South Africa,on pastures,
97931,Psychidae,Eumeta,moddermanni,,Heylaerts,Polyphagous,,,,South Africa,on fruit trees,
97932,Psychidae,Eumeta,moddermanni,,Heylaerts,Polyphagous,,,,South Africa,on trees,
45826,Lymantriidae,Euproctis,crocata,,Boisduval,Lichenes,,,,Southern Africa,,
46251,Lymantriidae,Euproctis,terminalis,,Walker,Polyphagous,,,,South Africa,on conifers,
33544,Lasiocampidae,Euwallengrenia,reducta,,Walker,Gramineae,,,,Southern Africa,,
33548,Lasiocampidae,Euwallengrenia,reducta,,Walker,Gramineae,,,,Southern Africa,on grasses,
104660,Pyralidae,Galleria,mellonella,,Linnaeus,Detritophagous,,,,Southern Africa,on beeswax,
31166,Hesperiidae,Gegenes,hottentota,,Latreille,Gramineae,,,,Southern Africa,,
29710,Hepialidae,Gorgopis,libania,,Stoll,Gramineae,,,,Southern Africa,on grass roots,
29711,Hepialidae,Gorgopis,libania,,Stoll,Gramineae,,,,South Africa,on grasses,
114168,Saturniidae,Gynanisa,maja,,Klug,Polyphagous,,,,South Africa,,
62784,Noctuidae,Heraclia,superba,,Butler,Leguminosae (P),,,,Southern Africa,on wild pea,
114823,Saturniidae,Holocerina,smilax,,Westwood,Polyphagous,,,,South Africa,on broad-leaved trees,
32988,Hyblaeidae,Hyblaea,puera,,Cramer,Verbenaceae,,,,Southern Africa,,
32989,Hyblaeidae,Hyblaea,puera,,Cramer,Vitaceae,,,,Southern Africa,,
63499,Noctuidae,Idia,gigantalis,,Hampson,Detritophagous,,,,Southern Africa,on grass in termitaria,
2421,Arctiidae,Ilemodes,heterogyna,,Hampson,Lichenes,,,,Southern Africa,,
2422,Arctiidae,Ilemodes,heterogyna,,Hampson,Lichenes,,,,Southern Africa,on lichens,
115884,Saturniidae,Imbrasia,cytherea,,Fabricius,Polyphagous,,,,South Africa,on trees,
9372,Eupterotidae,Janomima,westwoodi,,Aurivillius,Gramineae,,,,Southern Africa,,
9375,Eupterotidae,Janomima,westwoodi,,Aurivillius,Gramineae,,,,Southern Africa,on grasses,
46427,Lymantriidae,Laelia,fracta,,Schaus & Clement,Gramineae,,,,Southern Africa,on grasses,
46434,Lymantriidae,Laelia,octophora,,Hampson,Lichenes,,,,Southern Africa,,
46435,Lymantriidae,Laelia,octophora,,Hampson,Lichenes,,,,Southern Africa,on lichens,
33869,Lasiocampidae,Leipoxais,peraffinis,,Holland,Rutaceae,,,,Southern Africa,,
